Commit id,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement
Commit id,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement
497,477,23,122,10,260,26,19,0,0
498,478,23,122,10,261,26,19,0,0
499,480,23,122,10,264,26,19,0,0
500,481,23,122,10,265,26,19,0,0
501,482,23,122,10,265,26,19,0,0
502,482,23,122,10,265,26,19,0,0
503,480,23,122,10,263,26,19,0,0
504,478,23,121,10,262,26,19,0,0
505,477,23,121,10,262,26,19,0,0
506,477,23,120,10,262,26,19,0,0
507,477,23,120,10,262,26,19,0,0
508,479,23,121,10,263,26,19,0,0
509,479,23,121,10,263,26,19,0,0
510,479,23,121,10,263,26,19,0,0
511,479,23,121,10,263,26,19,0,0
512,478,23,121,10,263,26,19,0,0
513,478,23,121,10,263,26,19,0,0
514,479,23,121,10,263,26,19,0,0
515,479,23,121,10,263,26,19,0,0
516,479,23,121,10,263,26,19,0,0
517,479,23,121,10,263,26,19,0,0
518,478,23,120,10,262,26,19,0,0
519,478,23,120,10,262,26,19,0,0
520,479,23,120,10,262,26,19,0,0
521,485,23,120,10,265,26,19,0,0
522,484,23,120,10,265,26,19,0,0
523,485,23,120,10,265,26,19,0,0
524,484,23,119,10,264,26,19,0,0
525,485,23,120,10,265,26,19,0,0
526,485,23,120,10,265,26,19,0,0
527,486,23,120,10,265,26,19,0,0
528,488,23,121,10,267,26,19,0,0
529,488,23,121,10,267,26,19,0,0
530,488,23,121,10,267,26,19,0,0
531,488,23,121,10,267,26,19,0,0
532,489,23,121,10,268,26,19,0,0
533,489,23,121,10,268,26,19,0,0
534,489,23,121,10,268,26,19,0,0
535,489,23,122,10,268,26,19,0,0
536,489,23,122,10,268,26,19,0,0
537,489,23,122,10,268,26,19,0,0
538,489,23,122,10,268,26,19,0,0
539,489,23,122,10,268,26,19,0,0
540,489,23,122,10,268,26,19,0,0
541,489,23,122,10,270,26,19,0,0
542,488,23,122,10,269,26,19,0,0
543,489,23,122,10,270,26,19,0,0
544,489,23,122,10,270,26,19,0,0
545,488,23,122,10,269,26,19,0,0
546,490,23,122,10,269,26,20,0,0
547,495,24,125,10,271,26,20,0,0
548,493,24,125,10,271,26,20,0,0
549,493,24,125,10,271,26,20,0,0
550,494,24,125,10,271,26,20,0,0
551,496,24,125,10,271,26,20,0,0
552,496,24,125,10,271,26,20,0,0
553,497,24,126,10,273,26,20,0,0
554,497,24,126,10,273,26,20,0,0
555,497,24,126,10,273,26,20,0,0
556,497,24,126,10,273,26,20,0,0
557,498,24,126,10,273,26,19,0,0
558,498,24,126,10,273,26,19,0,0
559,498,24,126,10,273,27,20,0,0
560,498,24,126,10,273,27,20,0,0
561,504,24,126,10,275,27,20,0,0
